date,hospital,total_beds,occupied_beds,occupancy_rate,elderly_patients_pct
2023-02-06,KKH,1420,851,0.95,0.37
2023-02-07,SGH,925,576,0.95,0.378
2023-02-07,NUH,915,954,0.862,0.457
2023-02-07,TTSH,976,776,0.95,0.282
2023-02-07,CGH,939,1184,0.95,0.314
2023-02-07,KTPH,888,643,0.598,0.174
2023-02-07,AH,641,688,0.787,0.322
2023-02-07,IMH,1457,553,0.699,0.245
2023-02-07,KKH,1316,1172,0.845,0.373
2023-02-08,SGH,1304,386,0.689,0.418
2023-02-08,NUH,1306,877,0.934,0.197
2023-02-08,TTSH,561,1191,0.887,0.443
2023-02-08,CGH,1360,888,0.828,0.284
2023-02-08,KTPH,865,781,0.943,0.3
2023-02-08,AH,1436,1040,0.831,0.3
2023-02-08,IMH,1226,1101,0.927,0.469
2023-02-08,KKH,1252,1018,0.95,0.397
2023-02-09,SGH,1349,485,0.866,0.179
2023-02-09,NUH,1392,558,0.95,0.283
2023-02-09,TTSH,1109,727,0.95,0.53
2023-02-09,CGH,1487,827,0.796,0.408
2023-02-09,KTPH,539,925,0.893,0.383
2023-02-09,AH,1483,450,0.722,0.36
2023-02-09,IMH,1400,434,0.643,0.277
2023-02-09,KKH,815,859,0.724,0.349
2023-02-10,SGH,1092,473,0.772,0.372
2023-02-10,NUH,848,307,0.5,0.263
2023-02-10,TTSH,1365,418,0.777,0.454
2023-02-10,CGH,761,431,0.604,0.396
2023-02-10,KTPH,852,1004,0.939,0.461
2023-02-10,AH,862,961,0.911,0.422
2023-02-10,IMH,690,1107,0.95,0.467
2023-02-10,KKH,1246,794,0.753,0.398
2023-02-11,SGH,862,725,0.775,0.365
2023-02-11,NUH,855,527,0.697,0.399
2023-02-11,TTSH,794,1175,0.804,0.478
2023-02-11,CGH,612,675,0.923,0.201
2023-02-11,KTPH,1199,564,0.596,0.425
2023-02-11,AH,825,917,0.95,0.371
2023-02-11,IMH,723,1250,0.837,0.508
2023-02-11,KKH,721,509,0.95,0.206
2023-02-12,SGH,1230,506,0.733,0.369
2023-02-12,NUH,1405,1032,0.746,0.367
2023-02-12,TTSH,709,764,0.95,0.198
2023-02-12,CGH,1447,836,0.95,0.276
2023-02-12,KTPH,532,807,0.706,0.333
2023-02-12,AH,958,1015,0.95,0.304
2023-02-12,IMH,598,807,0.902,0.345
2023-02-12,KKH,1296,533,0.813,0.467
2023-02-13,SGH,1186,1399,0.95,0.301
2023-02-13,NUH,1206,1047,0.777,0.315
2023-02-13,TTSH,1368,1329,0.915,0.374
2023-02-13,CGH,1069,797,0.573,0.293
2023-02-13,KTPH,662,1264,0.95,0.436
2023-02-13,AH,1285,701,0.91,0.419
2023-02-13,IMH,559,882,0.95,0.184
2023-02-13,KKH,1061,576,0.826,0.231
2023-02-14,SGH,1192,733,0.708,0.382
2023-02-14,NUH,1057,902,0.879,0.421
2023-02-14,TTSH,772,968,0.695,0.345
2023-02-14,CGH,1177,1080,0.749,0.53
2023-02-14,KTPH,1000,455,0.739,0.349
2023-02-14,AH,563,768,0.632,0.547
2023-02-14,IMH,1489,681,0.832,0.232
2023-02-14,KKH,665,937,0.899,0.343
2023-02-15,SGH,601,877,0.95,0.424
2023-02-15,NUH,587,890,0.846,0.293
2023-02-15,TTSH,585,502,0.849,0.234
2023-02-15,CGH,1427,688,0.929,0.528
2023-02-15,KTPH,1300,1096,0.881,0.146
2023-02-15,AH,615,943,0.81,0.341
2023-02-15,IMH,1370,412,0.7,0.322
2023-02-15,KKH,1493,574,0.95,0.412
2023-02-16,SGH,1401,482,0.95,0.442
2023-02-16,NUH,763,1272,0.95,0.386
2023-02-16,TTSH,817,579,0.95,0.414
2023-02-16,CGH,813,451,0.867,0.445
2023-02-16,KTPH,1308,1139,0.95,0.281
2023-02-16,AH,511,465,0.795,0.37
2023-02-16,IMH,742,500,0.805,0.566
2023-02-16,KKH,1184,1118,0.797,0.147
2023-02-17,SGH,787,662,0.822,0.454
2023-02-17,NUH,811,896,0.653,0.47
2023-02-17,TTSH,1254,386,0.723,0.349
2023-02-17,CGH,706,671,0.788,0.209
2023-02-17,KTPH,1224,526,0.8,0.385
2023-02-17,AH,1304,964,0.95,0.323
2023-02-17,IMH,1455,618,0.95,0.427
2023-02-17,KKH,1116,873,0.95,0.645
2023-02-18,SGH,1239,848,0.788,0.313
2023-02-18,NUH,794,1365,0.95,0.394
2023-02-18,TTSH,1029,639,0.608,0.195
2023-02-18,CGH,1293,740,0.727,0.412
2023-02-18,KTPH,797,1367,0.95,0.196
2023-02-18,AH,792,1115,0.835,0.118
2023-02-18,IMH,1001,1040,0.784,0.276
2023-02-18,KKH,730,1409,0.95,0.185
2023-02-19,SGH,644,969,0.697,0.378
2023-02-19,NUH,662,486,0.669,0.187
2023-02-19,TTSH,959,1164,0.803,0.341
2023-02-19,CGH,786,526,0.589,0.295
2023-02-19,KTPH,1091,1142,0.777,0.45
2023-02-19,AH,860,718,0.95,0.291
2023-02-19,IMH,1471,961,0.95,0.224
2023-02-19,KKH,783,426,0.689,0.22
2023-02-20,SGH,703,401,0.604,0.471
2023-02-20,NUH,1323,622,0.95,0.447
2023-02-20,TTSH,750,1275,0.876,0.459
2023-02-20,CGH,781,1039,0.802,0.305
2023-02-20,KTPH,984,834,0.664,0.413
2023-02-20,AH,775,1132,0.95,0.427
2023-02-20,IMH,625,1418,0.95,0.329
2023-02-20,KKH,926,418,0.618,0.4
2023-02-21,SGH,650,807,0.914,0.141
2023-02-21,NUH,507,722,0.86,0.362
2023-02-21,TTSH,851,764,0.891,0.285
2023-02-21,CGH,1301,568,0.821,0.372
2023-02-21,KTPH,644,876,0.845,0.55
2023-02-21,AH,1087,1307,0.88,0.455
2023-02-21,IMH,1300,439,0.88,0.395
2023-02-21,KKH,552,759,0.946,0.236
2023-02-22,SGH,719,1072,0.734,0.38
2023-02-22,NUH,1187,1075,0.84,0.383
2023-02-22,TTSH,988,1324,0.901,0.494
2023-02-22,CGH,993,929,0.813,0.446
2023-02-22,KTPH,1093,851,0.95,0.407
2023-02-22,AH,830,918,0.805,0.488
2023-02-22,IMH,1100,1062,0.868,0.247
2023-02-22,KKH,1210,440,0.686,0.206
2023-02-23,SGH,972,656,0.717,0.505
2023-02-23,NUH,1439,453,0.754,0.218
2023-02-23,TTSH,1121,1289,0.875,0.28
2023-02-23,CGH,502,436,0.747,0.575
2023-02-23,KTPH,953,1222,0.859,0.463
2023-02-23,AH,792,945,0.642,0.185
2023-02-23,IMH,1443,799,0.95,0.423
2023-02-23,KKH,1390,869,0.939,0.435
2023-02-24,SGH,1214,446,0.812,0.389
2023-02-24,NUH,1392,1078,0.737,0.322
2023-02-24,TTSH,1038,840,0.719,0.252
2023-02-24,CGH,643,530,0.877,0.489
2023-02-24,KTPH,1444,1033,0.95,0.427
2023-02-24,AH,958,535,0.703,0.328
2023-02-24,IMH,1408,463,0.705,0.405
2023-02-24,KKH,1437,717,0.76,0.382
2023-02-25,SGH,884,637,0.95,0.342
2023-02-25,NUH,1390,524,0.819,0.307
2023-02-25,TTSH,1225,683,0.95,0.388
2023-02-25,CGH,509,1030,0.695,0.284
2023-02-25,KTPH,1083,618,0.95,0.32
2023-02-25,AH,792,661,0.613,0.281
2023-02-25,IMH,559,613,0.92,0.294
2023-02-25,KKH,1175,1026,0.699,0.378
2023-02-26,SGH,1186,1007,0.95,0.226
2023-02-26,NUH,1130,1038,0.895,0.391
2023-02-26,TTSH,659,970,0.95,0.512
2023-02-26,CGH,1008,673,0.716,0.213
2023-02-26,KTPH,1302,645,0.847,0.35
2023-02-26,AH,873,771,0.679,0.514
2023-02-26,IMH,1498,737,0.946,0.46
2023-02-26,KKH,666,991,0.885,0.513
2023-02-27,SGH,924,1025,0.685,0.279
2023-02-27,NUH,1141,1244,0.855,0.273
2023-02-27,TTSH,648,964,0.757,0.42
2023-02-27,CGH,1311,791,0.9,0.433
2023-02-27,KTPH,629,792,0.646,0.331
2023-02-27,AH,1302,533,0.625,0.217
2023-02-27,IMH,1161,730,0.557,0.287
2023-02-27,KKH,810,671,0.95,0.419
2023-02-28,SGH,554,870,0.617,0.168
2023-02-28,NUH,1041,623,0.847,0.388
2023-02-28,TTSH,785,477,0.737,0.429
2023-02-28,CGH,955,1011,0.815,0.31
2023-02-28,KTPH,959,938,0.895,0.45
2023-02-28,AH,1248,868,0.806,0.309
2023-02-28,IMH,1260,909,0.62,0.231
2023-02-28,KKH,1201,860,0.95,0.354
2023-03-01,SGH,642,687,0.817,0.297
2023-03-01,NUH,511,369,0.5,0.472
2023-03-01,TTSH,928,1149,0.883,0.121
2023-03-01,CGH,961,510,0.806,0.55
2023-03-01,KTPH,1025,397,0.696,0.305
2023-03-01,AH,705,881,0.685,0.296
2023-03-01,IMH,1461,1107,0.857,0.362
2023-03-01,KKH,594,640,0.5,0.328
2023-03-02,SGH,982,965,0.673,0.443
2023-03-02,NUH,981,736,0.827,0.45
2023-03-02,TTSH,578,963,0.893,0.011
2023-03-02,CGH,1042,1057,0.786,0.253
2023-03-02,KTPH,946,616,0.694,0.413
2023-03-02,AH,786,509,0.502,0.476
2023-03-02,IMH,1141,632,0.718,0.499
2023-03-02,KKH,828,435,0.665,0.309
2023-03-03,SGH,579,591,0.658,0.32
2023-03-03,NUH,1114,790,0.752,0.277
2023-03-03,TTSH,1319,587,0.816,0.469
2023-03-03,CGH,730,980,0.825,0.579
2023-03-03,KTPH,1018,356,0.545,0.328
2023-03-03,AH,1240,1021,0.931,0.318
2023-03-03,IMH,1241,779,0.715,0.245
2023-03-03,KKH,1387,875,0.95,0.429
2023-03-04,SGH,1485,370,0.5,0.453
2023-03-04,NUH,1496,350,0.521,0.401
2023-03-04,TTSH,996,817,0.682,0.306
2023-03-04,CGH,1267,476,0.698,0.572
2023-03-04,KTPH,1093,797,0.642,0.405
2023-03-04,AH,1424,705,0.766,0.471
2023-03-04,IMH,1124,467,0.774,0.338
2023-03-04,KKH,924,467,0.744,0.277
2023-03-05,SGH,1455,547,0.749,0.333
2023-03-05,NUH,1301,1211,0.95,0.289
2023-03-05,TTSH,578,1046,0.741,0.43
2023-03-05,CGH,966,761,0.705,0.275
2023-03-05,KTPH,600,361,0.713,0.522
2023-03-05,AH,907,633,0.645,0.368
2023-03-05,IMH,865,421,0.58,0.48
2023-03-05,KKH,890,878,0.88,0.284
2023-03-06,SGH,760,867,0.682,0.306
2023-03-06,NUH,819,591,0.928,0.422
2023-03-06,TTSH,1461,809,0.841,0.481
2023-03-06,CGH,881,936,0.702,0.325
2023-03-06,KTPH,877,522,0.846,0.472
2023-03-06,AH,987,829,0.653,0.443
2023-03-06,IMH,850,1340,0.95,0.53
2023-03-06,KKH,1022,848,0.831,0.457
2023-03-07,SGH,682,1223,0.834,0.329
2023-03-07,NUH,623,880,0.593,0.153
2023-03-07,TTSH,1479,824,0.673,0.274
2023-03-07,CGH,612,1030,0.743,0.554
2023-03-07,KTPH,1279,630,0.862,0.314
2023-03-07,AH,1160,1080,0.95,0.419
2023-03-07,IMH,1146,957,0.824,0.423
2023-03-07,KKH,1097,689,0.594,0.4
2023-03-08,SGH,782,859,0.81,0.285
2023-03-08,NUH,587,409,0.755,0.201
2023-03-08,TTSH,1200,678,0.796,0.52
2023-03-08,CGH,518,261,0.5,0.358
2023-03-08,KTPH,866,673,0.863,0.388
2023-03-08,AH,861,449,0.657,0.398
2023-03-08,IMH,1373,980,0.719,0.265
2023-03-08,KKH,1395,632,0.789,0.21
2023-03-09,SGH,1436,348,0.571,0.394
2023-03-09,NUH,1097,580,0.792,0.495
2023-03-09,TTSH,917,591,0.632,0.415
2023-03-09,CGH,1254,657,0.533,0.239
2023-03-09,KTPH,600,1027,0.858,0.313
2023-03-09,AH,519,881,0.627,0.141
2023-03-09,IMH,1304,972,0.784,0.443
2023-03-09,KKH,904,665,0.95,0.275
2023-03-10,SGH,556,750,0.521,0.476
2023-03-10,NUH,1015,559,0.777,0.266
2023-03-10,TTSH,835,796,0.665,0.368
2023-03-10,CGH,1265,983,0.95,0.539
2023-03-10,KTPH,658,620,0.904,0.409
2023-03-10,AH,1377,531,0.749,0.481
2023-03-10,IMH,1041,588,0.724,0.305
2023-03-10,KKH,1203,462,0.892,0.418
2023-03-11,SGH,682,323,0.529,0.331
2023-03-11,NUH,1127,350,0.574,0.336
2023-03-11,TTSH,1470,1227,0.927,0.413
2023-03-11,CGH,900,507,0.728,0.408
2023-03-11,KTPH,1486,793,0.883,0.408
2023-03-11,AH,574,1194,0.872,0.32
2023-03-11,IMH,1004,949,0.95,0.504
2023-03-11,KKH,1472,559,0.5,0.233
2023-03-12,SGH,1376,765,0.721,0.173
2023-03-12,NUH,848,1137,0.855,0.331
2023-03-12,TTSH,573,934,0.777,0.297
2023-03-12,CGH,759,606,0.533,0.345
2023-03-12,KTPH,1140,898,0.696,0.527
2023-03-12,AH,681,989,0.835,0.428
2023-03-12,IMH,1042,602,0.55,0.38
2023-03-12,KKH,1425,682,0.753,0.362
2023-03-13,SGH,719,1030,0.735,0.33
2023-03-13,NUH,1131,1128,0.803,0.328
2023-03-13,TTSH,1117,1089,0.887,0.27
2023-03-13,CGH,1095,905,0.671,0.349
2023-03-13,KTPH,1018,284,0.5,0.438
2023-03-13,AH,1154,1135,0.787,0.359
2023-03-13,IMH,812,342,0.516,0.297
2023-03-13,KKH,1483,469,0.583,0.407
2023-03-14,SGH,883,1153,0.82,0.346
2023-03-14,NUH,677,709,0.629,0.318
2023-03-14,TTSH,826,701,0.64,0.269
2023-03-14,CGH,1072,967,0.903,0.616
2023-03-14,KTPH,1180,750,0.814,0.419
2023-03-14,AH,1465,801,0.807,0.531
2023-03-14,IMH,1352,598,0.589,0.058
