date,polyclinic,total_attendance,elderly_attendance,chronic_disease_consultations,medication_refills
2023-01-05,Ang Mo Kio,214,72,51,117
2023-01-05,Bedok,170,82,45,90
2023-01-05,Bukit Batok,244,105,70,161
2023-01-05,Clementi,158,54,45,104
2023-01-05,Geylang,198,81,62,107
2023-01-05,Hougang,227,86,54,161
2023-01-05,Jurong,241,116,75,145
2023-01-05,Kallang,234,86,62,137
2023-01-05,Marine Parade,204,93,42,165
2023-01-05,Pasir Ris,149,41,45,101
2023-01-05,Punggol,231,106,57,117
2023-01-05,Queenstown,203,67,60,118
2023-01-05,Sembawang,158,58,42,85
2023-01-05,Sengkang,158,67,41,86
2023-01-05,Tampines,176,74,31,80
2023-01-05,Toa Payoh,164,62,43,122
2023-01-05,Woodlands,242,92,60,120
2023-01-05,Yishun,199,73,52,102
2023-01-06,Ang Mo Kio,225,124,55,144
2023-01-06,Bedok,234,84,61,140
2023-01-06,Bukit Batok,204,65,51,132
2023-01-06,Clementi,272,134,97,142
2023-01-06,Geylang,243,101,87,126
2023-01-06,Hougang,158,53,22,86
2023-01-06,Jurong,162,67,43,127
2023-01-06,Kallang,247,84,50,160
2023-01-06,Marine Parade,133,77,41,73
2023-01-06,Pasir Ris,114,61,27,82
2023-01-06,Punggol,120,40,30,72
2023-01-06,Queenstown,177,81,34,103
2023-01-06,Sembawang,206,92,58,100
2023-01-06,Sengkang,123,64,32,64
2023-01-06,Tampines,277,114,85,168
2023-01-06,Toa Payoh,303,174,71,211
2023-01-06,Woodlands,232,124,46,155
2023-01-06,Yishun,252,56,48,99
2023-01-07,Ang Mo Kio,130,61,42,78
2023-01-07,Bedok,197,51,32,117
2023-01-07,Bukit Batok,153,60,22,90
2023-01-07,Clementi,94,43,25,47
2023-01-07,Geylang,122,35,30,84
2023-01-07,Hougang,105,47,23,54
2023-01-07,Jurong,136,40,30,65
2023-01-07,Kallang,208,83,44,129
2023-01-07,Marine Parade,136,51,38,91
2023-01-07,Pasir Ris,121,41,28,44
2023-01-07,Punggol,86,46,28,49
2023-01-07,Queenstown,160,68,64,113
2023-01-07,Sembawang,135,41,22,83
2023-01-07,Sengkang,113,29,24,55
2023-01-07,Tampines,199,97,49,148
2023-01-07,Toa Payoh,142,44,46,92
2023-01-07,Woodlands,103,39,21,47
2023-01-07,Yishun,172,101,30,112
2023-01-08,Ang Mo Kio,117,41,25,60
2023-01-08,Bedok,141,44,37,83
2023-01-08,Bukit Batok,131,40,28,88
2023-01-08,Clementi,157,47,40,105
2023-01-08,Geylang,81,36,17,53
2023-01-08,Hougang,113,24,19,68
2023-01-08,Jurong,149,46,42,64
2023-01-08,Kallang,137,38,29,82
2023-01-08,Marine Parade,109,39,32,59
2023-01-08,Pasir Ris,169,48,46,125
2023-01-08,Punggol,53,16,14,30
2023-01-08,Queenstown,152,51,38,88
2023-01-08,Sembawang,180,76,48,100
2023-01-08,Sengkang,122,43,32,68
2023-01-08,Tampines,150,91,44,85
2023-01-08,Toa Payoh,182,65,26,90
2023-01-08,Woodlands,74,26,18,56
2023-01-08,Yishun,151,57,44,57
2023-01-09,Ang Mo Kio,211,100,37,150
2023-01-09,Bedok,216,77,60,178
2023-01-09,Bukit Batok,209,88,47,107
2023-01-09,Clementi,241,75,61,133
2023-01-09,Geylang,223,96,67,122
2023-01-09,Hougang,186,56,42,118
2023-01-09,Jurong,237,72,69,174
2023-01-09,Kallang,220,129,46,104
2023-01-09,Marine Parade,111,61,31,65
2023-01-09,Pasir Ris,213,61,79,130
2023-01-09,Punggol,205,96,56,127
2023-01-09,Queenstown,160,71,55,117
2023-01-09,Sembawang,279,97,55,163
2023-01-09,Sengkang,202,102,33,152
2023-01-09,Tampines,192,68,38,83
2023-01-09,Toa Payoh,241,98,44,113
2023-01-09,Woodlands,183,103,43,82
2023-01-09,Yishun,187,69,21,111
2023-01-10,Ang Mo Kio,188,88,64,133
2023-01-10,Bedok,186,53,70,112
2023-01-10,Bukit Batok,200,79,51,117
2023-01-10,Clementi,171,59,42,93
2023-01-10,Geylang,164,67,38,123
2023-01-10,Hougang,67,34,20,26
2023-01-10,Jurong,182,66,32,95
2023-01-10,Kallang,144,82,42,104
2023-01-10,Marine Parade,236,67,52,153
2023-01-10,Pasir Ris,138,65,32,77
2023-01-10,Punggol,235,104,54,168
2023-01-10,Queenstown,145,66,40,82
2023-01-10,Sembawang,216,59,63,125
2023-01-10,Sengkang,173,87,37,79
2023-01-10,Tampines,122,56,22,94
2023-01-10,Toa Payoh,95,54,24,56
2023-01-10,Woodlands,172,75,42,122
2023-01-10,Yishun,205,85,47,121
2023-01-11,Ang Mo Kio,215,49,39,144
2023-01-11,Bedok,208,79,52,132
2023-01-11,Bukit Batok,173,55,44,86
2023-01-11,Clementi,220,50,66,142
2023-01-11,Geylang,212,105,70,148
2023-01-11,Hougang,107,29,23,64
2023-01-11,Jurong,225,73,58,118
2023-01-11,Kallang,169,43,34,78
2023-01-11,Marine Parade,151,76,30,130
2023-01-11,Pasir Ris,224,93,46,150
2023-01-11,Punggol,171,70,64,100
2023-01-11,Queenstown,257,84,63,199
2023-01-11,Sembawang,168,97,47,91
2023-01-11,Sengkang,231,114,64,102
2023-01-11,Tampines,163,61,40,107
2023-01-11,Toa Payoh,208,55,55,137
2023-01-11,Woodlands,227,115,66,146
2023-01-11,Yishun,196,45,53,121
2023-01-12,Ang Mo Kio,213,58,41,150
2023-01-12,Bedok,198,92,49,119
2023-01-12,Bukit Batok,246,85,62,136
2023-01-12,Clementi,178,65,46,98
2023-01-12,Geylang,262,81,63,145
2023-01-12,Hougang,272,114,82,122
2023-01-12,Jurong,213,104,54,150
2023-01-12,Kallang,174,94,63,98
2023-01-12,Marine Parade,177,96,58,96
2023-01-12,Pasir Ris,178,66,32,90
2023-01-12,Punggol,149,48,36,92
2023-01-12,Queenstown,277,83,82,160
2023-01-12,Sembawang,197,92,38,125
2023-01-12,Sengkang,208,93,55,175
2023-01-12,Tampines,168,58,36,91
2023-01-12,Toa Payoh,168,87,53,91
2023-01-12,Woodlands,158,70,35,104
2023-01-12,Yishun,210,52,68,163
2023-01-13,Ang Mo Kio,169,61,44,107
2023-01-13,Bedok,232,139,55,120
2023-01-13,Bukit Batok,131,42,32,102
2023-01-13,Clementi,174,73,43,125
2023-01-13,Geylang,326,113,73,229
2023-01-13,Hougang,234,136,65,131
2023-01-13,Jurong,229,116,66,149
2023-01-13,Kallang,253,130,80,168
2023-01-13,Marine Parade,191,79,59,98
2023-01-13,Pasir Ris,218,78,54,158
2023-01-13,Punggol,209,84,38,140
2023-01-13,Queenstown,232,142,54,144
2023-01-13,Sembawang,212,118,51,133
2023-01-13,Sengkang,230,96,52,142
2023-01-13,Tampines,253,75,64,134
2023-01-13,Toa Payoh,259,64,57,165
2023-01-13,Woodlands,278,109,61,219
2023-01-13,Yishun,127,22,34,69
2023-01-14,Ang Mo Kio,104,48,27,56
2023-01-14,Bedok,95,46,26,56
2023-01-14,Bukit Batok,204,59,35,108
2023-01-14,Clementi,138,58,32,87
2023-01-14,Geylang,96,52,23,68
2023-01-14,Hougang,151,67,42,97
2023-01-14,Jurong,162,86,42,108
2023-01-14,Kallang,136,73,29,106
2023-01-14,Marine Parade,138,35,35,73
2023-01-14,Pasir Ris,169,56,38,69
2023-01-14,Punggol,124,19,21,83
2023-01-14,Queenstown,167,73,33,99
2023-01-14,Sembawang,139,39,45,95
2023-01-14,Sengkang,132,53,34,52
2023-01-14,Tampines,131,43,26,74
2023-01-14,Toa Payoh,202,93,44,132
2023-01-14,Woodlands,188,92,47,100
2023-01-14,Yishun,164,72,48,108
2023-01-15,Ang Mo Kio,176,60,55,109
2023-01-15,Bedok,212,70,71,131
2023-01-15,Bukit Batok,117,41,27,75
2023-01-15,Clementi,158,54,39,128
2023-01-15,Geylang,200,88,50,122
2023-01-15,Hougang,161,47,38,69
2023-01-15,Jurong,153,71,34,115
2023-01-15,Kallang,97,24,25,68
2023-01-15,Marine Parade,198,70,60,118
2023-01-15,Pasir Ris,133,64,37,58
2023-01-15,Punggol,191,102,41,122
2023-01-15,Queenstown,157,66,34,83
2023-01-15,Sembawang,139,71,38,78
2023-01-15,Sengkang,167,19,51,71
2023-01-15,Tampines,127,36,23,90
2023-01-15,Toa Payoh,123,53,30,79
2023-01-15,Woodlands,142,38,42,78
2023-01-15,Yishun,85,30,27,58
2023-01-16,Ang Mo Kio,182,66,42,146
2023-01-16,Bedok,219,97,66,136
2023-01-16,Bukit Batok,187,71,46,111
2023-01-16,Clementi,236,95,67,139
2023-01-16,Geylang,203,40,60,128
2023-01-16,Hougang,249,27,88,145
2023-01-16,Jurong,255,75,71,126
2023-01-16,Kallang,168,99,40,104
2023-01-16,Marine Parade,243,109,62,154
2023-01-16,Pasir Ris,320,126,83,225
2023-01-16,Punggol,255,132,71,123
2023-01-16,Queenstown,281,80,74,147
2023-01-16,Sembawang,196,84,52,125
2023-01-16,Sengkang,280,124,66,194
2023-01-16,Tampines,259,71,72,173
2023-01-16,Toa Payoh,185,99,44,113
2023-01-16,Woodlands,191,76,37,87
2023-01-16,Yishun,279,87,55,107
2023-01-17,Ang Mo Kio,168,44,55,117
2023-01-17,Bedok,165,103,49,93
2023-01-17,Bukit Batok,75,47,13,32
2023-01-17,Clementi,251,161,80,164
2023-01-17,Geylang,229,111,65,143
2023-01-17,Hougang,205,80,43,117
2023-01-17,Jurong,115,44,23,56
2023-01-17,Kallang,208,112,61,92
2023-01-17,Marine Parade,150,74,30,86
2023-01-17,Pasir Ris,227,68,57,105
2023-01-17,Punggol,169,73,28,108
2023-01-17,Queenstown,199,90,51,146
2023-01-17,Sembawang,206,73,52,134
2023-01-17,Sengkang,202,81,43,107
2023-01-17,Tampines,129,74,24,68
2023-01-17,Toa Payoh,164,80,38,118
2023-01-17,Woodlands,166,71,34,135
2023-01-17,Yishun,140,60,39,89
2023-01-18,Ang Mo Kio,190,73,47,111
2023-01-18,Bedok,248,154,55,114
2023-01-18,Bukit Batok,195,128,40,148
2023-01-18,Clementi,283,97,78,215
2023-01-18,Geylang,181,68,39,90
2023-01-18,Hougang,167,46,42,87
2023-01-18,Jurong,211,51,56,144
2023-01-18,Kallang,100,43,31,47
2023-01-18,Marine Parade,283,125,60,168
2023-01-18,Pasir Ris,227,92,62,115
2023-01-18,Punggol,208,53,50,105
2023-01-18,Queenstown,163,85,49,107
2023-01-18,Sembawang,145,53,45,89
2023-01-18,Sengkang,315,138,81,179
2023-01-18,Tampines,206,79,58,143
2023-01-18,Toa Payoh,160,42,25,104
2023-01-18,Woodlands,144,26,38,122
2023-01-18,Yishun,199,96,50,117
2023-01-19,Ang Mo Kio,245,90,64,154
2023-01-19,Bedok,166,82,40,87
2023-01-19,Bukit Batok,226,70,56,135
2023-01-19,Clementi,254,113,63,173
2023-01-19,Geylang,269,122,67,126
2023-01-19,Hougang,146,53,32,84
2023-01-19,Jurong,202,91,49,131
2023-01-19,Kallang,203,41,41,118
2023-01-19,Marine Parade,139,63,45,100
2023-01-19,Pasir Ris,189,103,48,107
2023-01-19,Punggol,169,62,38,104
2023-01-19,Queenstown,208,83,56,149
2023-01-19,Sembawang,247,62,30,171
2023-01-19,Sengkang,131,49,25,54
2023-01-19,Tampines,227,108,50,77
2023-01-19,Toa Payoh,172,75,30,106
2023-01-19,Woodlands,199,91,50,100
2023-01-19,Yishun,259,99,64,131
2023-01-20,Ang Mo Kio,177,55,42,136
2023-01-20,Bedok,131,31,42,75
2023-01-20,Bukit Batok,166,83,36,129
2023-01-20,Clementi,233,81,83,125
2023-01-20,Geylang,237,101,74,179
2023-01-20,Hougang,201,65,54,106
2023-01-20,Jurong,300,124,69,185
2023-01-20,Kallang,132,39,40,70
2023-01-20,Marine Parade,147,66,45,98
2023-01-20,Pasir Ris,249,80,44,186
2023-01-20,Punggol,183,68,57,119
2023-01-20,Queenstown,222,136,48,153
2023-01-20,Sembawang,202,86,65,131
2023-01-20,Sengkang,226,114,52,116
2023-01-20,Tampines,147,29,51,71
2023-01-20,Toa Payoh,188,69,49,128
2023-01-20,Woodlands,243,83,58,152
2023-01-20,Yishun,187,104,51,125
2023-01-21,Ang Mo Kio,163,84,42,76
2023-01-21,Bedok,153,51,34,100
2023-01-21,Bukit Batok,183,73,48,140
2023-01-21,Clementi,148,97,41,62
2023-01-21,Geylang,166,72,52,110
2023-01-21,Hougang,135,37,32,69
2023-01-21,Jurong,119,54,39,76
2023-01-21,Kallang,98,43,30,52
2023-01-21,Marine Parade,135,54,28,89
2023-01-21,Pasir Ris,135,59,27,75
2023-01-21,Punggol,165,59,55,92
2023-01-21,Queenstown,147,72,26,62
2023-01-21,Sembawang,86,45,19,73
2023-01-21,Sengkang,120,50,39,96
2023-01-21,Tampines,212,110,63,139
2023-01-21,Toa Payoh,167,57,34,100
2023-01-21,Woodlands,134,47,38,93
2023-01-21,Yishun,143,78,27,83
2023-01-22,Ang Mo Kio,114,24,28,67
2023-01-22,Bedok,192,88,38,150
2023-01-22,Bukit Batok,182,83,43,91
2023-01-22,Clementi,126,64,43,95
2023-01-22,Geylang,122,35,31,51
2023-01-22,Hougang,151,58,34,66
2023-01-22,Jurong,157,54,30,49
2023-01-22,Kallang,139,80,46,77
2023-01-22,Marine Parade,118,52,23,74
2023-01-22,Pasir Ris,166,86,40,96
2023-01-22,Punggol,109,34,26,69
2023-01-22,Queenstown,171,54,55,97
2023-01-22,Sembawang,139,45,17,95
2023-01-22,Sengkang,165,61,41,107
2023-01-22,Tampines,85,29,24,40
2023-01-22,Toa Payoh,150,39,40,89
2023-01-22,Woodlands,83,42,17,43
2023-01-22,Yishun,147,75,29,89
2023-01-23,Ang Mo Kio,221,103,57,124
2023-01-23,Bedok,158,64,31,48
2023-01-23,Bukit Batok,221,108,29,110
2023-01-23,Clementi,230,139,57,121
2023-01-23,Geylang,190,102,41,98
2023-01-23,Hougang,175,53,44,133
2023-01-23,Jurong,216,80,50,95
2023-01-23,Kallang,244,95,58,224
2023-01-23,Marine Parade,214,69,48,152
2023-01-23,Pasir Ris,205,52,60,109
2023-01-23,Punggol,293,148,66,213
2023-01-23,Queenstown,203,98,55,104
2023-01-23,Sembawang,167,84,38,93
2023-01-23,Sengkang,152,67,53,74
2023-01-23,Tampines,201,108,49,129
2023-01-23,Toa Payoh,146,64,35,101
2023-01-23,Woodlands,259,170,72,163
2023-01-23,Yishun,209,76,55,119
2023-01-24,Ang Mo Kio,208,110,41,148
2023-01-24,Bedok,265,102,38,142
2023-01-24,Bukit Batok,264,104,52,145
2023-01-24,Clementi,242,110,57,136
2023-01-24,Geylang,180,55,59,102
2023-01-24,Hougang,260,143,77,144
2023-01-24,Jurong,220,87,45,139
2023-01-24,Kallang,141,73,31,87
2023-01-24,Marine Parade,214,80,59,118
2023-01-24,Pasir Ris,243,64,62,192
2023-01-24,Punggol,149,49,41,92
2023-01-24,Queenstown,217,97,61,154
2023-01-24,Sembawang,220,82,62,173
2023-01-24,Sengkang,193,58,58,113
2023-01-24,Tampines,91,44,20,53
2023-01-24,Toa Payoh,216,90,61,120
2023-01-24,Woodlands,225,84,64,148
2023-01-24,Yishun,153,77,34,104
2023-01-25,Ang Mo Kio,218,127,52,123
2023-01-25,Bedok,199,73,57,87
2023-01-25,Bukit Batok,147,43,43,113
2023-01-25,Clementi,194,74,49,138
2023-01-25,Geylang,153,64,45,99
2023-01-25,Hougang,209,104,24,139
2023-01-25,Jurong,167,36,46,123
2023-01-25,Kallang,193,95,63,141
2023-01-25,Marine Parade,281,133,71,123
2023-01-25,Pasir Ris,187,59,67,108
2023-01-25,Punggol,206,93,51,158
2023-01-25,Queenstown,168,70,35,78
2023-01-25,Sembawang,169,66,38,89
2023-01-25,Sengkang,129,50,22,87
2023-01-25,Tampines,204,51,47,107
2023-01-25,Toa Payoh,215,114,33,131
2023-01-25,Woodlands,191,89,49,100
2023-01-25,Yishun,184,58,55,110
2023-01-26,Ang Mo Kio,295,116,63,132
2023-01-26,Bedok,109,26,28,70
2023-01-26,Bukit Batok,120,58,27,73
2023-01-26,Clementi,280,137,66,143
2023-01-26,Geylang,92,30,22,46
2023-01-26,Hougang,193,78,46,103
2023-01-26,Jurong,208,92,40,154
2023-01-26,Kallang,195,78,55,121
2023-01-26,Marine Parade,247,105,54,157
2023-01-26,Pasir Ris,142,58,35,82
2023-01-26,Punggol,193,40,42,117
2023-01-26,Queenstown,207,61,64,106
2023-01-26,Sembawang,248,109,53,192
2023-01-26,Sengkang,140,68,42,74
2023-01-26,Tampines,269,100,71,168
2023-01-26,Toa Payoh,193,92,55,82
2023-01-26,Woodlands,265,61,79,188
2023-01-26,Yishun,145,52,28,83
2023-01-27,Ang Mo Kio,184,87,58,136
2023-01-27,Bedok,171,64,28,88
2023-01-27,Bukit Batok,248,139,46,134
2023-01-27,Clementi,198,84,41,127
2023-01-27,Geylang,176,70,48,105
2023-01-27,Hougang,178,69,43,100
2023-01-27,Jurong,187,104,51,106
2023-01-27,Kallang,234,85,72,149
2023-01-27,Marine Parade,194,86,33,94
2023-01-27,Pasir Ris,140,58,47,115
2023-01-27,Punggol,231,103,36,126
2023-01-27,Queenstown,160,54,38,88
2023-01-27,Sembawang,101,47,19,63
2023-01-27,Sengkang,303,93,37,173
2023-01-27,Tampines,255,151,48,165
2023-01-27,Toa Payoh,176,68,67,79
2023-01-27,Woodlands,212,94,64,129
2023-01-27,Yishun,215,77,56,121
2023-01-28,Ang Mo Kio,161,58,43,96
2023-01-28,Bedok,179,70,28,129
2023-01-28,Bukit Batok,108,36,23,79
2023-01-28,Clementi,65,46,19,40
2023-01-28,Geylang,138,59,38,91
2023-01-28,Hougang,159,65,38,92
2023-01-28,Jurong,133,68,37,40
2023-01-28,Kallang,162,67,40,90
2023-01-28,Marine Parade,179,88,37,114
2023-01-28,Pasir Ris,105,27,22,72
2023-01-28,Punggol,173,78,49,112
2023-01-28,Queenstown,117,51,33,79
2023-01-28,Sembawang,181,85,48,127
2023-01-28,Sengkang,139,43,33,73
2023-01-28,Tampines,116,44,24,66
2023-01-28,Toa Payoh,73,30,18,37
2023-01-28,Woodlands,163,80,27,85
2023-01-28,Yishun,113,34,32,65
2023-01-29,Ang Mo Kio,130,25,36,61
2023-01-29,Bedok,142,60,45,66
2023-01-29,Bukit Batok,50,20,17,36
2023-01-29,Clementi,147,51,42,73
2023-01-29,Geylang,156,70,47,136
2023-01-29,Hougang,153,53,38,64
2023-01-29,Jurong,115,41,25,70
2023-01-29,Kallang,111,56,27,66
2023-01-29,Marine Parade,128,53,37,65
2023-01-29,Pasir Ris,116,42,21,60
2023-01-29,Punggol,123,59,32,76
2023-01-29,Queenstown,169,65,45,99
2023-01-29,Sembawang,149,50,19,87
2023-01-29,Sengkang,189,93,56,136
2023-01-29,Tampines,143,60,31,81
2023-01-29,Toa Payoh,161,83,39,89
2023-01-29,Woodlands,140,64,24,51
2023-01-29,Yishun,120,33,26,70
2023-01-30,Ang Mo Kio,177,96,47,111
2023-01-30,Bedok,231,66,69,136
2023-01-30,Bukit Batok,233,68,40,158
2023-01-30,Clementi,218,67,45,155
2023-01-30,Geylang,140,78,28,92
2023-01-30,Hougang,183,84,40,106
2023-01-30,Jurong,202,60,57,110
2023-01-30,Kallang,188,56,22,109
2023-01-30,Marine Parade,320,153,79,183
2023-01-30,Pasir Ris,201,91,38,142
2023-01-30,Punggol,235,110,63,141
2023-01-30,Queenstown,233,106,54,126
2023-01-30,Sembawang,205,113,38,92
2023-01-30,Sengkang,208,84,53,129
2023-01-30,Tampines,188,103,31,97
2023-01-30,Toa Payoh,194,45,46,148
2023-01-30,Woodlands,201,85,37,108
2023-01-30,Yishun,181,66,56,118
2023-01-31,Ang Mo Kio,144,61,39,102
2023-01-31,Bedok,279,83,58,132
2023-01-31,Bukit Batok,188,83,56,111
2023-01-31,Clementi,184,76,38,148
2023-01-31,Geylang,119,49,41,71
2023-01-31,Hougang,190,69,45,140
2023-01-31,Jurong,89,49,15,51
2023-01-31,Kallang,178,81,30,115
2023-01-31,Marine Parade,301,79,78,160
2023-01-31,Pasir Ris,221,88,48,143
2023-01-31,Punggol,290,110,82,136
2023-01-31,Queenstown,152,67,49,96
2023-01-31,Sembawang,184,73,34,121
2023-01-31,Sengkang,244,86,55,152
2023-01-31,Tampines,178,70,63,102
2023-01-31,Toa Payoh,182,61,52,105
2023-01-31,Woodlands,167,88,53,90
2023-01-31,Yishun,106,53,22,71
2023-02-01,Ang Mo Kio,101,49,19,67
2023-02-01,Bedok,200,60,45,133
2023-02-01,Bukit Batok,205,93,71,90
2023-02-01,Clementi,280,114,57,130
2023-02-01,Geylang,190,93,46,142
2023-02-01,Hougang,127,50,23,80
2023-02-01,Jurong,244,87,29,151
2023-02-01,Kallang,221,97,68,108
2023-02-01,Marine Parade,234,121,37,147
2023-02-01,Pasir Ris,174,68,46,95
2023-02-01,Punggol,166,66,32,81
2023-02-01,Queenstown,233,66,66,150
2023-02-01,Sembawang,113,37,34,56
2023-02-01,Sengkang,176,78,50,101
2023-02-01,Tampines,170,92,57,118
2023-02-01,Toa Payoh,204,65,42,133
2023-02-01,Woodlands,220,118,62,98
2023-02-01,Yishun,252,75,58,157
2023-02-02,Ang Mo Kio,299,212,83,173
2023-02-02,Bedok,226,110,52,176
2023-02-02,Bukit Batok,211,94,59,135
2023-02-02,Clementi,241,81,53,118
2023-02-02,Geylang,221,105,60,169
2023-02-02,Hougang,199,92,38,111
2023-02-02,Jurong,234,113,55,138
2023-02-02,Kallang,124,45,36,81
2023-02-02,Marine Parade,225,91,56,120
2023-02-02,Pasir Ris,234,103,64,128
2023-02-02,Punggol,92,46,20,47
2023-02-02,Queenstown,234,84,70,154
2023-02-02,Sembawang,234,61,72,146
2023-02-02,Sengkang,181,74,29,115
2023-02-02,Tampines,148,39,25,105
2023-02-02,Toa Payoh,168,92,37,72
2023-02-02,Woodlands,144,75,34,78
2023-02-02,Yishun,208,93,63,154
2023-02-03,Ang Mo Kio,182,48,41,113
2023-02-03,Bedok,151,45,40,89
2023-02-03,Bukit Batok,201,65,47,102
2023-02-03,Clementi,244,122,38,123
2023-02-03,Geylang,125,41,30,56
2023-02-03,Hougang,153,45,39,92
2023-02-03,Jurong,163,68,36,93
2023-02-03,Kallang,283,151,52,193
2023-02-03,Marine Parade,240,68,69,180
2023-02-03,Pasir Ris,143,44,43,89
2023-02-03,Punggol,227,98,61,106
2023-02-03,Queenstown,252,130,60,150
2023-02-03,Sembawang,123,55,34,73
2023-02-03,Sengkang,256,93,71,127
2023-02-03,Tampines,198,75,51,111
2023-02-03,Toa Payoh,193,93,44,84
2023-02-03,Woodlands,287,154,53,191
2023-02-03,Yishun,174,74,46,100
2023-02-04,Ang Mo Kio,112,37,22,57
2023-02-04,Bedok,137,44,38,102
2023-02-04,Bukit Batok,119,50,32,77
2023-02-04,Clementi,142,67,38,67
2023-02-04,Geylang,170,83,36,102
2023-02-04,Hougang,163,61,49,136
2023-02-04,Jurong,112,29,29,75
2023-02-04,Kallang,131,71,23,87
2023-02-04,Marine Parade,118,67,41,61
2023-02-04,Pasir Ris,120,58,27,71
2023-02-04,Punggol,140,29,34,74
2023-02-04,Queenstown,122,66,22,83
2023-02-04,Sembawang,130,48,37,82
2023-02-04,Sengkang,159,78,37,85
2023-02-04,Tampines,102,32,40,73
2023-02-04,Toa Payoh,92,24,25,60
2023-02-04,Woodlands,159,59,38,100
2023-02-04,Yishun,143,25,34,73
2023-02-05,Ang Mo Kio,146,101,39,83
2023-02-05,Bedok,172,77,46,113
2023-02-05,Bukit Batok,211,60,57,107
2023-02-05,Clementi,159,48,36,90
2023-02-05,Geylang,174,85,32,105
2023-02-05,Hougang,115,31,27,65
2023-02-05,Jurong,224,99,40,121
2023-02-05,Kallang,175,106,29,72
2023-02-05,Marine Parade,205,89,42,133
2023-02-05,Pasir Ris,50,20,13,34
2023-02-05,Punggol,104,42,21,65
2023-02-05,Queenstown,108,38,21,71
2023-02-05,Sembawang,170,64,42,77
2023-02-05,Sengkang,129,50,49,63
2023-02-05,Tampines,191,95,50,148
2023-02-05,Toa Payoh,153,67,37,110
2023-02-05,Woodlands,178,60,32,103
2023-02-05,Yishun,111,43,34,61
2023-02-06,Ang Mo Kio,197,79,57,73
2023-02-06,Bedok,169,71,52,93
2023-02-06,Bukit Batok,106,48,23,50
2023-02-06,Clementi,168,64,36,63
2023-02-06,Geylang,244,128,68,118
2023-02-06,Hougang,189,75,52,126
2023-02-06,Jurong,163,66,44,121
2023-02-06,Kallang,235,112,59,174
2023-02-06,Marine Parade,220,69,70,147
2023-02-06,Pasir Ris,177,62,46,114
2023-02-06,Punggol,209,90,70,147
